Topic,Subject,Title,District 01 Estimate,District 02 Estimate,District 03 Estimate,District 04 Estimate,District 05 Estimate,District 06 Estimate,District 07 Estimate,District 08 Estimate,District 09 Estimate,District 10 Estimate,District 11 Estimate,District 12 Estimate,District 13 Estimate,District 14 Estimate,District 15 Estimate,District 16 Estimate,District 17 Estimate,District 18 Estimate,District 19 Estimate,District 20 Estimate,District 21 Estimate,District 22 Estimate,District 23 Estimate,District 24 Estimate,District 25 Estimate,District 26 Estimate,District 27 Estimate,District 28 Estimate,District 29 Estimate,District 30 Estimate,District 31 Estimate,District 32 Estimate,District 33 Estimate,District 34 Estimate,District 35 Estimate,District 36 Estimate,District 37 Estimate,District 38 Estimate,District 39 Estimate,District 40 Estimate,District 41 Estimate,District 42 Estimate,District 43 Estimate,District 44 Estimate,District 45 Estimate,District 46 Estimate,District 47 Estimate,District 48 Estimate,District 49 Estimate,District 50 Estimate,District 51 Estimate,District 52 Estimate
Workers,Industry,Retail trade,"38,478","33,751","38,925","42,659","41,253","38,701","32,223","39,345","38,977","37,952","34,260","29,694","34,846","31,175","30,671","26,021","30,884","33,464","34,491","36,237","33,712","31,931","41,476","34,199","38,114","36,561","35,387","31,136","39,985","37,895","39,061","33,987","39,651","32,692","42,635","27,442","36,358","38,153","47,102","38,357","41,648","38,066","36,625","36,760","37,451","42,514","35,596","34,291","43,513","28,790","35,622","37,782"
Workers,Industry,"Transportation and warehousing, and utilities","18,277","14,310","18,908","16,108","21,156","29,337","25,302","26,121","34,073","15,960","16,804","24,145","23,757","20,782","20,773","12,204","13,588","17,236","12,027","25,380","26,412","24,477","33,716","13,385","21,334","15,551","18,907","24,050","23,736","18,359","28,425","16,960","49,656","22,008","50,263","16,317","23,824","30,997","36,977","14,900","25,584","29,661","34,791","37,484","19,472","24,640","15,269","15,876","13,373","13,400","17,063","23,709"
Workers,Industry,Information,"3,810","9,288","6,929","5,890","6,090","3,082","4,969","5,445","4,994","9,628","28,172","14,046","3,719","12,791","16,248","26,086","36,384","5,969","9,209","4,998","3,117","2,489","3,012","8,615","2,832","9,697","14,289","12,707","15,843","46,140","6,132","31,556","4,723","17,202","3,475","35,325","17,676","5,532","4,462","9,398","7,416","7,483","6,755","5,766","5,674","4,715","8,858","6,007","7,231","10,602","5,971","4,643"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","16,801","19,551","25,943","15,246","18,740","21,985","18,717","16,205","14,582","32,650","36,216","18,766","10,233","19,204","23,469","18,072","17,302","10,601","16,302","15,090","9,918","6,610","12,351","14,060","9,917","22,938","17,261","27,526","16,850","24,934","18,094","31,507","13,715","15,719","16,455","31,263","16,470","17,552","14,235","32,306","20,687","15,547","12,050","13,119","21,933","18,953","39,962","19,194","31,293","26,852","23,538","14,693"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","27,638","59,156","51,084","45,379","35,358","45,900","44,797","53,819","40,330","80,444","116,246","82,483","25,402","77,756","83,231","91,265","105,682","48,409","60,145","29,689","26,339","20,269","29,556","46,305","37,644","48,843","39,394","53,821","44,949","68,457","37,621","70,529","29,364","49,166","41,618","83,521","60,596","36,580","38,016","67,856","48,015","37,685","45,684","41,512","44,636","50,200","73,021","46,096","63,486","89,387","65,606","40,350"
Workers,Industry,"Educational services, and health care and social assistance","81,781","84,441","86,843","96,366","90,240","78,950","91,818","82,468","71,468","82,880","79,212","97,051","64,907","70,485","82,225","87,161","72,352","69,505","83,875","98,515","79,332","58,140","79,462","84,987","68,350","77,378","75,181","98,590","81,201","87,394","78,524","90,923","80,883","71,052","76,928","87,580","74,040","85,760","77,053","86,208","83,561","80,727","72,481","76,139","85,613","73,760","86,019","80,285","70,904","103,472","88,260","85,650"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","29,613","30,731","34,558","39,002","34,234","30,793","33,460","34,688","26,979","28,330","32,114","35,106","25,206","23,482","35,894","24,930","25,624","34,585","38,688","26,066","24,843","29,437","30,599","46,824","42,713","33,014","31,952","37,250","38,002","59,923","33,588","40,691","27,745","53,499","37,263","36,990","45,735","31,703","31,672","30,854","38,674","38,091","39,918","38,777","39,443","48,881","40,641","31,223","34,354","45,820","37,533","37,167"
Workers,Industry,"Other services, except public administration","17,482","16,651","14,586","16,550","17,434","15,310","20,522","20,609","16,495","13,956","14,549","20,259","14,628","13,296","20,228","13,261","13,852","15,181","20,016","14,540","14,576","13,487","16,565","15,784","16,811","14,858","17,789","22,644","23,380","24,657","19,722","19,858","20,622","23,054","15,901","15,699","20,749","18,319","19,299","16,578","18,426","18,902","18,286","18,965","20,000","19,439","12,861","18,105","16,720","17,426","19,959","15,920"
Workers,Industry,Public administration,"20,924","19,836","29,777","23,079","20,816","36,042","46,539","18,709","19,604","13,189","15,211","15,645","14,835","13,407","14,451","9,923","9,681","14,384","16,571","29,531","14,995","12,565","19,279","18,599","17,523","17,663","18,615","17,476","8,900","12,508","13,511","9,024","16,635","9,759","15,330","11,050","11,234","17,361","16,999","13,288","18,903","13,220","14,114","13,654","13,072","11,471","12,179","19,033","11,436","16,290","20,724","24,392"
Workers,Class of Worker,Civilian employed population 16 years and over,"321,651","353,208","366,981","376,253","357,918","353,834","372,888","372,208","356,303","372,093","413,824","395,432","322,142","366,956","385,157","381,245","426,996","355,280","366,194","346,759","312,992","303,421","317,666","358,869","323,693","362,374","334,385","378,334","368,630","421,155","351,885","397,602","352,273","365,842","373,306","398,511","366,610","358,333","368,594","388,396","373,985","362,142","345,638","359,166","366,161","391,773","398,688","344,367","368,478","425,437","378,491","346,047"
Workers,Class of Worker,Private wage and salary workers,"231,858","251,783","266,251","276,211","259,049","253,469","252,535","287,899","280,562","293,561","337,231","303,317","249,530","299,331","311,545","320,067","374,660","285,953","280,719","240,262","233,284","240,203","237,606","266,854","247,124","287,639","246,271","291,760","288,928","334,291","276,401","311,797","281,455","287,800","299,679","317,204","282,730","276,719","291,210","312,727","285,004","281,551","268,559","286,735","290,074","325,424","322,975","259,266","297,912","343,387","293,296","260,872"
Workers,Class of Worker,Government workers,"62,676","58,766","71,129","72,225","68,038","74,639","94,470","57,529","57,677","51,268","49,230","60,829","50,562","47,517","47,379","38,008","35,718","49,234","55,910","81,610","58,648","43,795","56,826","64,217","52,162","49,561","60,192","54,816","37,236","39,402","50,056","41,713","51,494","38,511","50,038","44,682","42,512","60,718","55,320","47,946","60,570","51,260","51,708","48,966","49,949","42,805","47,121","59,427","39,644","56,731","59,816","65,164"
Workers,Class of Worker,Self-employed in own not incorporated business workers,"26,259","41,716","28,772","27,580","30,044","25,267","25,174","25,902","17,558","26,617","26,723","30,661","21,220","19,505","25,257","22,049","16,033","19,906","28,326","24,181","20,034","18,284","22,516","27,070","24,263","24,100","27,371","31,134","41,511","47,137","25,233","42,770","18,777","38,808","22,884","35,936","40,403","19,879","21,276","27,564","27,666","27,643","24,931","22,416","25,496","22,268","28,207","24,750","30,130","24,278","24,841","19,683"
Workers,Class of Worker,Unpaid family workers,858,943,829,237,787,459,709,878,506,647,640,625,830,603,976,"1,121",585,187,"1,239",706,"1,026","1,139",718,728,144,"1,074",551,624,955,325,195,"1,322",547,723,705,689,965,"1,017",788,159,745,"1,688",440,"1,049",642,"1,276",385,924,792,"1,041",538,328
Housing,Housing Occupancy,Total housing units,"321,592","334,938","382,678","311,659","331,508","292,074","281,677","275,515","257,633","282,903","382,098","326,858","237,172","259,571","278,186","291,991","290,795","231,155","296,356","297,885","242,021","229,038","310,349","301,644","283,744","260,487","247,697","290,752","247,570","374,813","225,280","321,212","227,607","292,920","229,472","362,673","281,026","235,602","224,141","280,310","329,908","258,257","248,960","243,628","246,598","232,543","317,199","265,342","298,746","345,826","300,053","242,865"
Housing,Housing Occupancy,Occupied housing units,"290,952","298,256","311,995","285,194","294,732","275,764","267,481","262,450","242,737","273,768","337,775","302,836","226,522","248,627","257,570","271,845","276,769","216,372","271,331","276,897","230,335","216,780","259,438","277,419","250,397","247,844","237,438","271,305","234,850","345,310","216,767","302,443","220,734","272,767","221,847","323,832","261,217","226,907","216,143","268,785","277,163","245,115","235,329","233,890","237,263","223,860","293,327","252,575","278,593","315,685","285,034","229,551"
Housing,Housing Occupancy,Vacant housing units,"30,640","36,682","70,683","26,465","36,776","16,310","14,196","13,065","14,896","9,135","44,323","24,022","10,650","10,944","20,616","20,146","14,026","14,783","25,025","20,988","11,686","12,258","50,911","24,225","33,347","12,643","10,259","19,447","12,720","29,503","8,513","18,769","6,873","20,153","7,625","38,841","19,809","8,695","7,998","11,525","52,745","13,142","13,631","9,738","9,335","8,683","23,872","12,767","20,153","30,141","15,019","13,314"
Housing,Housing Occupancy,Homeowner vacancy rate,1.3,0.7,1.7,1.5,0.9,0.1,0.4,0.6,0.9,0.6,0.8,0.6,0.6,0.5,0.8,0.5,0.6,0.5,0.5,0.8,0.3,0.5,0.8,0.7,0.2,0.2,1.1,1.2,0.7,0.6,0.4,0.9,0.5,1.4,0.6,0.4,1.1,0.5,0.1,0.7,0.9,0.8,0.3,0.9,0.1,0.4,0.8,0.6,0.7,0.1,0.4,0.8
Housing,Housing Occupancy,Rental vacancy rate,2.5,3.7,3.9,4,2.6,8.2,3.8,3.5,3.3,3.2,5.8,5.9,1.9,5.7,8.6,6.4,5.3,3.1,3.1,4.3,3.4,3.5,4.7,3.5,2.8,3.8,4.8,3.6,2.8,4.1,3.2,3.5,2.6,3.5,3.1,7.3,4,3.5,3.5,5.4,7.7,3.3,3,2.3,3.3,4.4,5.4,3.7,4.3,4.5,4.8,3.5
Housing,Housing Tenure,Occupied housing units,"290,952","298,256","311,995","285,194","294,732","275,764","267,481","262,450","242,737","273,768","337,775","302,836","226,522","248,627","257,570","271,845","276,769","216,372","271,331","276,897","230,335","216,780","259,438","277,419","250,397","247,844","237,438","271,305","234,850","345,310","216,767","302,443","220,734","272,767","221,847","323,832","261,217","226,907","216,143","268,785","277,163","245,115","235,329","233,890","237,263","223,860","293,327","252,575","278,593","315,685","285,034","229,551"
Housing,Housing Tenure,Owner-occupied,"185,621","192,473","227,530","177,669","208,587","160,406","161,045","161,685","151,601","197,882","115,814","135,309","126,450","153,454","149,451","159,895","139,634","111,875","176,453","183,984","128,126","113,241","168,668","150,558","164,462","163,048","168,996","151,202","92,358","104,063","127,835","156,738","137,431","59,918","125,258","144,375","80,699","150,244","132,948","193,514","206,521","96,070","98,351","115,807","138,336","94,154","149,707","179,874","172,660","150,711","146,688","119,079"
Housing,Housing Tenure,Renter-occupied,"105,331","105,783","84,465","107,525","86,145","115,358","106,436","100,765","91,136","75,886","221,961","167,527","100,072","95,173","108,119","111,950","137,135","104,497","94,878","92,913","102,209","103,539","90,770","126,861","85,935","84,796","68,442","120,103","142,492","241,247","88,932","145,705","83,303","212,849","96,589","179,457","180,518","76,663","83,195","75,271","70,642","149,045","136,978","118,083","98,927","129,706","143,620","72,701","105,933","164,974","138,346","110,472"
Housing,Housing Tenure,Average household size of owner-occupied unit,2.6,2.48,2.56,2.59,2.6,2.76,2.95,2.91,3.16,2.74,2.32,2.56,3.45,2.92,2.84,2.79,2.82,3.32,2.62,2.93,3.35,3.55,2.91,2.59,3.06,2.9,3.13,2.8,3.39,2.5,3.36,2.62,3.54,2.91,3.45,2.52,3.08,3.16,3.56,2.78,2.97,3.1,3.3,3.16,3.18,3.42,2.61,2.91,2.61,2.61,2.62,3.34
Housing,Housing Tenure,Average household size of renter-occupied unit,2.39,2.34,2.27,2.53,2.59,2.59,2.57,2.7,3.06,2.54,1.81,2.18,3.29,2.8,2.64,2.54,2.47,3.31,2.49,2.64,3.02,3.32,2.86,2.58,3.02,3.02,2.86,2.54,2.8,1.96,3.13,2.29,3.19,2.43,3.15,1.92,2.58,3.13,3.38,2.78,2.68,2.69,2.81,3.05,2.93,3.16,2.39,2.88,2.58,2.07,2.46,2.96
Housing,Year Householder Moved into Unit,Occupied housing units,"290,952","298,256","311,995","285,194","294,732","275,764","267,481","262,450","242,737","273,768","337,775","302,836","226,522","248,627","257,570","271,845","276,769","216,372","271,331","276,897","230,335","216,780","259,438","277,419","250,397","247,844","237,438","271,305","234,850","345,310","216,767","302,443","220,734","272,767","221,847","323,832","261,217","226,907","216,143","268,785","277,163","245,115","235,329","233,890","237,263","223,860","293,327","252,575","278,593","315,685","285,034","229,551"
Housing,Year Householder Moved into Unit,Moved in 2021 or later,"77,534","63,457","77,719","73,455","62,839","66,604","61,205","55,501","52,356","62,048","121,631","92,128","45,592","57,981","62,458","74,430","96,578","49,804","62,872","64,457","49,774","49,502","62,287","69,949","51,800","50,264","46,586","57,045","49,344","108,551","36,763","77,951","41,947","72,694","49,910","96,586","69,688","34,535","46,524","57,188","65,914","56,022","41,723","37,240","47,862","56,588","88,507","58,978","70,903","107,178","81,518","49,897"
Housing,Year Householder Moved into Unit,Moved in 2018 to 2020,"58,593","46,718","54,693","47,908","57,212","56,666","53,830","44,077","50,921","48,264","46,041","43,810","45,937","41,629","38,061","42,596","41,867","35,830","42,347","61,980","49,631","47,555","54,094","51,839","47,623","44,799","43,287","45,885","40,317","65,583","31,673","53,942","40,869","44,711","43,424","53,342","42,350","34,555","39,646","46,481","58,367","44,361","39,789","38,124","37,632","40,643","58,745","48,576","55,047","62,725","55,929","47,790"
Housing,Year Householder Moved into Unit,Moved in 2010 to 2017,"65,591","69,513","80,216","65,843","79,174","74,626","71,583","66,852","68,287","67,955","58,556","65,499","63,357","61,338","53,437","55,363","53,715","57,165","64,962","70,646","56,788","56,479","67,777","62,584","74,295","61,619","66,736","59,993","63,657","70,337","56,608","69,810","62,337","70,009","56,230","63,129","66,162","52,200","57,830","62,837","74,026","62,025","62,396","63,244","57,258","56,949","65,349","66,585","66,145","70,314","63,871","65,511"
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,"40,967","50,014","53,016","49,201","47,907","41,047","42,201","42,057","35,884","44,442","50,997","44,806","41,840","38,195","43,790","43,097","38,916","36,900","43,697","41,611","35,528","34,582","41,075","42,460","47,813","37,167","43,678","46,842","40,587","47,106","39,420","41,489","42,106","42,648","40,660","43,768","40,805","41,073","40,452","45,776","49,860","40,786","41,648","42,322","37,417","34,885","35,233","40,741","44,250","41,532","37,317","31,776"
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,"25,630","32,264","26,102","25,532","26,416","15,966","19,367","25,987","18,180","26,645","31,663","26,163","15,979","24,187","25,577","26,112","23,631","19,224","29,016","23,120","20,577","17,165","18,055","26,116","16,722","28,874","20,905","29,999","23,280","29,897","27,938","29,934","19,838","24,947","16,362","31,437","23,536","30,474","16,983","34,965","18,990","23,907","24,470","27,814","28,189","18,150","22,718","21,591","24,234","18,412","22,905","19,235"
Housing,Year Householder Moved into Unit,Moved in 1989 and earlier,"22,637","36,290","20,249","23,255","21,184","20,855","19,295","27,976","17,109","24,414","28,887","30,430","13,817","25,297","34,247","30,247","22,062","17,449","28,437","15,083","18,037","11,497","16,150","24,471","12,144","25,121","16,246","31,541","17,665","23,836","24,365","29,317","13,637","17,758","15,261","35,570","18,676","34,070","14,708","21,538","10,006","18,014","25,303","25,146","28,905","16,645","22,775","16,104","18,014","15,524","23,494","15,342"
Housing,Value,Owner-occupied units,"185,621","192,473","227,530","177,669","208,587","160,406","161,045","161,685","151,601","197,882","115,814","135,309","126,450","153,454","149,451","159,895","139,634","111,875","176,453","183,984","128,126","113,241","168,668","150,558","164,462","163,048","168,996","151,202","92,358","104,063","127,835","156,738","137,431","59,918","125,258","144,375","80,699","150,244","132,948","193,514","206,521","96,070","98,351","115,807","138,336","94,154","149,707","179,874","172,660","150,711","146,688","119,079"
Housing,Value,"Less than $50,000","10,812","5,497","3,756","3,601","6,331","6,817","4,390","4,083","5,835","3,039","1,248","2,127","6,016","2,392","2,164","2,134","2,117","1,761","2,625","8,525","7,201","5,581","6,495","3,705","9,767","2,974","4,618","2,364","2,382","2,506","3,212","2,429","5,025",823,"4,062","1,608","1,817","2,668","2,708","2,906","5,310","1,645","2,844","2,172","1,623","2,757","2,941","3,302","2,365","2,256","3,064","4,437"
Housing,Value,"$50,000 to $99,999","7,626","3,231","4,999","3,894","2,910","2,289","2,581","2,737","2,905","1,136",190,"1,141","2,377","1,662",783,713,720,"1,991","1,111","2,201","3,239","3,015","4,628","2,819","8,390","2,398","4,180",899,"3,429",572,"3,248","1,693","3,434",799,"3,934","1,147","1,505","3,892","3,889","1,166","4,294","1,301","2,554","3,354","2,369","4,118","1,385","4,799","1,520","1,670","1,378","4,073"
Housing,Value,"$100,000 to $149,999","4,896","2,960","3,623","2,491","2,513","1,164","1,460","1,610","1,843","1,602",906,811,"2,645","1,605","1,140","1,337","1,803","2,164","2,464","3,423","3,679","4,263","3,445","2,284","5,821","1,721","2,666","1,279",720,"1,304","2,217","1,194","3,027",275,"2,216","1,284",494,939,"2,555","2,656","2,259",858,550,"1,336","1,768","2,349","1,765","2,475","1,868",763,"1,203",890
Housing,Value,"$150,000 to $199,999","6,658","2,793","3,061","3,408","2,400","1,281","1,376",462,"1,415",808,310,657,"2,032","1,578","1,157","1,553","1,161",874,"1,558","5,029","7,919","8,555","5,649","1,470","5,753","1,737","1,723",472,689,292,"1,062","1,202",989,413,"1,355","1,076",331,"1,364",955,"1,453","2,262",601,0,"1,643","1,254","1,835",854,"2,393","1,098",604,"1,011","1,112"
Housing,Value,"$200,000 to $299,999","30,916","7,478","6,720","6,438","12,311","8,982","4,835","2,614","6,906","3,549","1,261","1,582","15,497","2,025","1,245","2,128","3,962","2,175","2,336","22,972","25,350","34,165","19,840","4,603","19,077","2,081","4,813","1,031","1,409",566,"1,696",789,"4,493",513,"2,373",942,520,"1,475","3,390","2,971","8,764","1,205","1,655","2,407","1,991","1,472","2,969","2,930","2,947","1,434","2,092","1,449"
Housing,Value,"$300,000 to $499,999","78,873","28,598","39,775","28,394","81,116","67,162","50,267","25,729","51,535","9,342","3,942","7,889","60,801","3,988","2,097","4,405","3,073","9,240","9,672","85,448","63,593","47,515","77,779","17,078","70,697","10,049","39,834","5,311","9,771","3,598","8,665","5,371","45,381","4,929","20,372","3,337","5,760","8,677","35,443","11,475","32,293","8,501","9,851","11,540","5,137","8,545","5,822","16,886","8,012","7,004","10,144","12,165"
Housing,Value,"$500,000 to $999,999","40,336","68,872","138,178","98,258","81,359","66,032","86,368","108,530","70,245","81,982","19,179","54,987","32,270","54,812","33,587","17,482","20,807","61,300","55,868","49,942","15,332","9,182","45,956","62,448","41,844","91,968","85,913","67,705","61,012","33,842","96,136","57,669","70,664","28,692","86,484","23,580","40,894","106,790","79,622","75,114","128,822","61,252","66,212","82,843","75,578","62,920","37,169","113,218","64,291","51,955","80,731","78,752"
Housing,Value,"$1,000,000 or more","5,504","73,044","27,418","31,185","19,647","6,679","9,768","15,920","10,917","96,424","88,778","66,115","4,812","85,392","107,278","130,143","105,991","32,370","100,819","6,444","1,813",965,"4,876","56,151","3,113","50,120","25,249","72,141","12,946","61,383","11,599","86,391","4,418","23,474","4,462","111,401","29,378","24,439","4,386","95,773","22,517","20,707","14,685","10,512","48,616","10,158","96,802","33,871","90,559","85,025","47,065","16,201"
Housing,Value,Median (dollars),"369,300","811,100","642,900","665,900","493,500","483,100","562,600","641,300","526,600","985,200","1,507,800","986,600","413,200","1,071,800","1,301,400","1,820,400","1,442,700","800,700","1,096,000","419,100","342,600","303,000","413,900","834,700","400,600","839,700","636,400","979,700","711,600","1,120,700","695,100","1,087,600","528,300","870,600","619,500","1,546,200","848,900","745,800","566,800","994,800","638,300","789,700","705,900","692,400","900,900","746,700","1,189,300","746,100","1,038,000","1,095,300","867,100","705,200"
Housing,Mortgage Status,Owner-occupied units,"185,621","192,473","227,530","177,669","208,587","160,406","161,045","161,685","151,601","197,882","115,814","135,309","126,450","153,454","149,451","159,895","139,634","111,875","176,453","183,984","128,126","113,241","168,668","150,558","164,462","163,048","168,996","151,202","92,358","104,063","127,835","156,738","137,431","59,918","125,258","144,375","80,699","150,244","132,948","193,514","206,521","96,070","98,351","115,807","138,336","94,154","149,707","179,874","172,660","150,711","146,688","119,079"
Housing,Mortgage Status,Housing units with a mortgage,"112,039","118,616","147,349","117,138","133,173","113,725","109,798","116,054","102,589","139,392","74,631","91,699","81,969","108,284","95,905","101,667","91,653","75,772","113,782","125,205","82,495","75,600","114,430","90,180","102,888","112,790","125,573","94,275","62,930","70,376","83,548","109,394","96,489","40,724","89,976","96,916","61,266","98,446","92,554","136,295","138,597","68,245","68,619","78,810","85,485","60,897","94,530","130,427","118,292","104,008","102,686","80,944"
Housing,Mortgage Status,Housing units without a mortgage,"73,582","73,857","80,181","60,531","75,414","46,681","51,247","45,631","49,012","58,490","41,183","43,610","44,481","45,170","53,546","58,228","47,981","36,103","62,671","58,779","45,631","37,641","54,238","60,378","61,574","50,258","43,423","56,927","29,428","33,687","44,287","47,344","40,942","19,194","35,282","47,459","19,433","51,798","40,394","57,219","67,924","27,825","29,732","36,997","52,851","33,257","55,177","49,447","54,368","46,703","44,002","38,135"
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,"112,039","118,616","147,349","117,138","133,173","113,725","109,798","116,054","102,589","139,392","74,631","91,699","81,969","108,284","95,905","101,667","91,653","75,772","113,782","125,205","82,495","75,600","114,430","90,180","102,888","112,790","125,573","94,275","62,930","70,376","83,548","109,394","96,489","40,724","89,976","96,916","61,266","98,446","92,554","136,295","138,597","68,245","68,619","78,810","85,485","60,897","94,530","130,427","118,292","104,008","102,686","80,944"
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,"1,280",539,547,549,440,750,791,397,700,45,605,502,741,512,843,240,352,302,476,852,796,272,700,953,717,535,"1,192",912,721,864,402,280,894,345,615,389,605,737,447,822,278,457,569,305,331,309,927,321,943,550,"1,294",796
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,"7,164","2,351","2,199","1,768","4,085","3,552","2,774","2,279","3,011","1,726",74,781,"5,256","1,742","1,234","1,636",918,966,"1,723","5,397","5,899","6,184","8,254","2,612","6,693","1,834","2,500","1,068","1,072",495,"1,794",718,"3,565",724,"2,232",445,619,"2,235","3,535","1,390","3,174",994,"1,623","1,387","1,043",360,842,"1,821","1,422","1,390","1,538","2,009"
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499","19,985","9,524","10,485","8,632","16,194","17,341","11,875","6,909","12,003","4,087","2,321","3,422","16,337","2,870","1,903","1,431","2,058","4,611","4,814","16,126","20,881","23,095","19,637","4,536","17,378","5,170","11,066","3,610","4,421","2,160","6,159","2,108","10,424","2,143","8,045","1,730","3,496","6,741","12,150","4,084","7,502","4,306","6,044","6,764","3,607","3,614","1,782","7,723","4,372","3,631","5,600","5,072"
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999","30,315","14,166","19,891","16,934","26,183","25,420","21,747","15,981","20,328","10,519","2,335","6,156","21,479","6,658","4,926","3,403","4,300","9,022","8,401","31,068","24,021","23,127","27,100","12,185","23,258","11,922","15,153","7,437","8,009","4,416","13,199","6,215","20,351","3,991","17,897","3,962","7,113","12,905","18,061","11,714","18,447","10,792","11,172","14,086","9,324","10,031","5,181","14,016","9,960","7,609","10,706","11,063"
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499","22,166","13,005","26,213","19,334","27,422","22,295","20,684","20,661","19,759","15,133","3,740","9,918","15,479","12,717","6,726","4,857","7,133","10,368","13,030","30,165","14,646","11,133","21,716","16,239","24,844","16,692","19,929","12,404","11,450","6,939","15,754","8,429","21,421","6,459","16,759","6,550","10,108","18,246","20,344","19,357","25,537","10,575","13,292","16,251","12,382","12,544","9,543","22,632","16,197","9,964","15,998","13,497"
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999","14,044","15,721","27,301","19,178","19,538","18,570","18,866","20,473","18,078","15,383","5,775","10,107","10,201","14,470","10,294","6,703","9,089","10,043","14,244","19,334","7,528","5,835","17,743","11,139","13,933","16,907","20,937","15,083","10,002","8,583","15,687","12,316","15,615","6,654","15,555","7,668","9,158","18,094","14,139","17,132","25,368","11,784","9,966","13,950","15,021","12,657","11,880","22,435","16,692","12,056","18,025","16,471"
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more","17,085","63,310","60,713","50,743","39,311","25,797","33,061","49,354","28,710","92,499","59,781","60,813","12,476","69,315","69,979","83,397","67,803","40,460","71,094","22,263","8,724","5,954","19,280","42,516","16,065","59,730","54,796","53,761","27,255","46,919","30,553","79,328","24,219","20,408","28,873","76,172","30,167","39,488","23,878","81,796","58,291","29,337","25,953","26,067","43,777","21,382","64,375","61,479","68,706","68,808","49,525","32,036"
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),"1,958","3,156","2,763","2,796","2,359","2,220","2,428","2,788","2,386","3,731","4,000+","3,648","1,932","3,534","4,000+","4,000+","4,000+","3,109","3,479","2,152","1,766","1,671","2,035","2,884","2,068","3,106","2,809","3,267","2,790","3,695","2,642","4,000+","2,304","3,004","2,483","4,000+","2,975","2,731","2,297","3,361","2,783","2,797","2,581","2,522","3,043","2,642","3,690","2,917","3,289","3,657","2,950","2,744"
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,"73,582","73,857","80,181","60,531","75,414","46,681","51,247","45,631","49,012","58,490","41,183","43,610","44,481","45,170","53,546","58,228","47,981","36,103","62,671","58,779","45,631","37,641","54,238","60,378","61,574","50,258","43,423","56,927","29,428","33,687","44,287","47,344","40,942","19,194","35,282","47,459","19,433","51,798","40,394","57,219","67,924","27,825","29,732","36,997","52,851","33,257","55,177","49,447","54,368","46,703","44,002","38,135"
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,"4,670","2,947","3,800","2,302","1,813","2,340","2,228","1,544","1,897",755,923,"1,440","1,905","1,667",858,"1,327",704,"1,643","1,499","2,892","3,773","2,363","2,563","3,206","4,900","1,880",702,945,986,802,"1,636",531,"2,412",992,"2,429",934,609,"1,880","2,214","1,429","2,063","1,549","1,264","1,822","1,656","2,532","1,696",994,"1,036","1,032","1,698","2,766"
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,"7,934","5,587","4,331","5,326","5,098","4,364","5,259","3,151","4,874","2,010","2,730",886,"6,383","1,658","2,647","1,650","1,617","3,701","2,764","6,475","8,232","5,814","7,968","4,419","8,014","4,044","2,340","2,686","1,492","1,141","5,055","1,334","5,866","1,654","3,337","1,472","1,303","4,167","6,406","3,160","4,663","2,542","2,181","5,210","5,231","3,425","2,564","3,204","1,657","1,503","2,548","4,987"
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,"17,750","10,595","11,637","11,295","12,491","11,620","11,316","9,226","9,466","5,544","4,569","4,696","13,111","5,897","6,727","3,957","5,081","5,836","5,689","12,300","12,883","11,510","11,967","13,087","14,461","8,312","6,392","8,929","4,347","3,920","9,957","2,224","10,794","4,036","7,325","5,126","3,885","11,335","10,849","5,678","9,432","5,981","7,459","8,763","9,063","9,044","6,424","6,912","5,053","3,841","8,451","9,596"
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,"16,290","11,505","12,933","12,688","16,957","10,443","12,039","10,429","11,715","5,961","5,461","7,198","7,676","8,208","8,840","6,113","5,959","8,566","8,582","12,847","8,804","8,741","12,693","9,465","11,869","9,110","8,205","9,974","5,263","4,850","10,439","5,926","7,438","3,738","6,272","6,537","2,589","10,977","6,087","9,910","11,274","6,053","6,360","9,259","10,640","6,985","9,130","10,128","9,665","6,708","9,260","5,448"
